municipio_ine	localidad	codigo_postal
01901	LANGRAIZ OKA	01230
01901	NANCLARES DE LA OCA	01230
01001	ALEGRIA-DULANTZI	01240
01009	ARAIA	01250
01009	ASPARRENA	01250
01009	ANDOIN	01260
01009	EGINO	01260
01009	IBARGUREN	01260
01009	ILARDUIA	01260
01009	URABAIN	01260
01031	BIASTERI	01300
01031	LAGUARDIA	01300
01033	LAPUEBLA DE LABARCA	01306
01011	BAÑOS DE EBRO	01307
01057	ESKUERNAGA	01307
01011	MAÑUETA	01307
01052	SAMANIEGO	01307
01057	VILLABUENA DE ALAVA	01307
01032	ASA	01308
01032	ASSA	01308
01032	BENASPERI	01308
01031	CAMPILLAR, EL	01308
01019	KRIPAN	01308
01032	LANCIEGO	01308
01032	LANTZIEGO	01308
01032	VIÑASPRE	01308
01023	BILAR	01309
01023	ELVILLAR	01309
01034	LEZA	01309
01041	NAVARIDAS	01309
01031	PAGANOS	01309
01043	OION	01320
01043	OYON	01320
01031	LASERNA	01321
01043	BARRIOBUSTO	01322
01043	LABRAZA	01322
01039	MOREDA DE ALAVA	01322
01039	MORETA	01322
01060	YECORA / IEKORA	01322
01028	BASTIDA	01330
01028	LABASTIDA	01330
01022	ELCIEGO	01340
01036	LAUDIO/LLODIO	01400
01010	LUIAONDO	01408
01042	IRABAIEN	01409
01042	JANDIOLA	01409
01042	OKONDO	01409
01042	OKONDOGOIENA	01409
01042	OKONDOJENA	01409
01042	SAN ROMAN	01409
01042	UGALDE	01409
01042	VILLACHICA	01409
01042	ZUDIBIARTE	01409
01046	ARBIGANO	01420
01046	BASQUIÑUELAS	01420
01046	CAICEDO-SOPEÑA	01420
01046	CASTILLO-SOPEÑA	01420
01046	ERRIBERAGOITIA/RIBERA ALTA	01420
01046	HEREÑA	01420
01046	PAUL	01420
01046	POBES	01420
01902	ALCEDO	01423
01049	ATIAGA	01423
01049	ATIEGA	01423
01055	BACHICABO	01423
01055	BARRIO	01423
01055	BELLOJIN	01423
01902	BERGONDA	01423
01902	BERGÜENDA	01423
01055	ESPEJO	01423
